lsoa,mean_household_income,energy efficiency,fuel poverty,year_built,heating score,ownership score
E01000001,74846,57.876830318690786,4.2,1972,157.67315175097278,125.70129427792914
E01000002,73325,65.35949177877428,2.1,1972,146.92304366623432,119.54972752043597
E01000003,44130,61.37298747763864,5.5,1972,159.13229571984436,119.84094005449592
E01000005,30781,66.29358830146232,7.9,1982,84.21184608733246,64.65054495912807
E01000006,46141,60.40625,15.4,1929,107.63121487246,76.53916893732969
E01000007,30822,69.43558282208589,19.0,2009,116.63337656722872,83.00476839237056
E01000008,28359,65.42934782608695,17.0,1972,100.1111111111111,79.38555858310629
E01000009,38261,62.872832369942195,30.0,1918,127.03242542153046,90.29121253405994
E01000011,33133,57.15384615384615,12.6,1918,91.46519671422396,62.9942098092643
E01000012,32617,67.15407407407407,10.2,1992,136.00475572849112,94.32050408719346
E01000013,32742,59.50271739130435,14.8,1929,154.6000864677907,114.8232288828338
E01000014,32308,62.41618497109827,12.8,1929,102.07306528318205,77.20844686648503
E01000015,31525,68.01398601398601,14.0,1929,166.68958063121485,117.9114441416894
E01000016,33564,58.3698224852071,14.5,1929,125.06052745352358,92.650204359673
E01000017,32479,61.07746478873239,14.8,1929,122.05188067444875,91.02452316076293
E01000018,33843,60.77272727272727,13.3,1929,122.7777777777778,91.15940054495914
E01000019,33770,59.714285714285715,16.6,1929,100.81798530047556,73.85967302452315
E01000020,33995,63.047904191616766,12.8,1929,129.89840034587115,94.66485013623978
E01000021,30890,57.752450980392155,12.9,1929,117.5659316904453,83.68119891008173
E01000022,35700,61.240437158469945,16.1,1929,95.0151318633809,68.2159400544959
E01000024,33338,59.90049751243781,13.4,1929,91.11500216169476,67.03610354223434
E01000025,34076,63.013377926421406,12.7,1929,125.7704280155642,91.46832425068122
E01000027,31995,64.82198952879581,10.2,1954,128.02680501513188,92.88385558583106
E01000028,30915,67.43440233236151,12.5,1954,122.4842196281885,90.35524523160764
E01000029,43034,59.79421221864952,11.4,1939,138.85257241677476,103.97104904632153
E01000030,29508,65.48408710217755,15.2,1954,154.03026372676177,117.68664850136238
E01000031,47995,60.30546623794212,12.2,1939,120.59143968871594,87.46628065395095
E01000032,40236,58.63865546218487,12.9,1929,126.96498054474708,92.30790190735696
E01000033,30600,64.4574780058651,11.9,1939,105.21141374837872,81.39713896457765
E01000034,36749,63.76171875,11.5,1954,104.2494595763078,76.0384877384196
E01000035,37206,61.26086956521739,9.0,1939,114.39688715953308,82.92711171662127
E01000036,43059,57.590308370044056,11.3,1939,93.56117596195418,68.13113079019074
E01000037,52891,61.174528301886795,6.9,1939,117.67228707306528,85.63283378746596
E01000038,46891,59.615686274509805,13.2,1939,113.61219195849544,85.00102179836513
E01000039,45153,67.06666666666666,12.9,1954,132.55987894509292,95.11784741144416
E01000040,32533,61.97695852534562,16.4,1954,127.42585386943362,96.30722070844688
E01000041,33990,59.82078853046595,17.8,1929,122.0207522697795,90.13044959128064
E01000042,30690,69.26363636363637,15.3,1954,134.6614785992218,99.60286103542232
E01000043,33452,45.36842105263158,13.5,1929,92.10116731517508,68.82459128065396
E01000044,35327,58.700280112044815,13.1,1918,124.98054474708172,89.05279291553133
E01000045,34783,64.33030303030303,14.0,1929,120.49718979680068,88.75102179836513
E01000046,32992,62.37951807228916,13.1,1929,131.40207522697796,95.96219346049044
E01000049,27743,53.559479553903344,12.6,1972,124.52053610030266,98.99829700272478
E01000050,32049,62.09972299168975,13.6,1918,122.31258106355384,90.483310626703
E01000051,23806,65.72340425531915,9.2,1972,138.9239083441418,110.8409400544959
E01000052,32775,59.414847161572055,11.5,1918,152.5015131863381,112.0534741144414
